Round,specbzip,specmcf,specsjeng,spechmmer,speclibm
1,-61723.68126671701,-2751.883703370286,-38494.67551585745,-38494.67551585745,-23941.87062221416
2,-49721.4355745603,-263671.1630845073,-23291.916398897312,-23291.916398897312,-18636.669121110666
3,-48602.937379709314,-261330.7762599675,-20951.05646716371,-20951.05646716371,-17033.466835763928
4,-65081.9922987305,-385534.67641328304,-44535.266867115664,-44535.266867115664,-26975.786748274884
5,-66218.01799493303,-387129.87854650844,-44639.11868752411,-44639.11868752411,-27025.205934661633
6,-47312.98889532839,-257846.35201780524,-16964.126872032375,-16964.126872032375,-13993.494792166915
7,-43692.60217565326,-254225.96529813012,-13343.740152357252,-13343.740152357252,-10373.108072491792
8,-59296.9435131254,-376161.7216971245,-30674.787959180376,-30674.787959180376,-16642.823675686945
9,-59695.265091309906,-376835.52118107706,-30751.03063195311,-30751.03063195311,-16726.181514766555
10,-86854.18060309124,-544281.6223289119,-80282.70290672727,-80282.70290672727,-27198.978042953735
11,-63017.75765536049,-2772.7775649235437,-45399.300958658045,-45399.300958658045,-27274.12167214149
12,-94530.65936681221,-551099.922725311,-86950.42315426462,-86950.42315426462,-33878.95282581201
13,-93120.65932382716,-549903.5921663431,-85450.81019060544,-85450.81019060544,-32379.339545487135
