Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.committedInsts	system.cpu.committedOps	system.cpu.discardedOps	system.cpu.dcache.overall_miss_rate::.cpu.data	system.cpu.icache.overall_miss_rate::.cpu.inst	system.l2.overall_miss_rate::total	system.l2.overall_accesses::total	system.cpu.dcache.replacements
speclibm_1	0.174671	3.493415	100000000	100003637	2680	0.060972	0.000094	0.999944	1488538	1486955
speclibm_2	0.319151	4.784877	100000000	100003637	2614	0.122179	0.000084	0.997062	2985382	2982536
speclibm_3	0.319151	4.784877	100000000	100003637	2611	0.122179	0.000081	0.997070	2985359	2982536
speclibm_4	0.205457	3.080316	100000000	100003637	2689	0.061266	0.000085	0.993195	1498655	1496102
speclibm_5	0.205127	3.075369	100000000	100003637	2681	0.060972	0.000085	0.999981	1488484	1485931
speclibm_6	0.280532	5.610634	100000000	100003637	2611	0.122059	0.000081	0.998530	2980994	2976123
speclibm_7	0.280532	5.610634	100000000	100003637	2611	0.122059	0.000081	0.998530	2980994	2976123
speclibm_8	0.175290	3.505792	100000000	100003637	2682	0.061119	0.000085	0.996579	1493566	1488965
speclibm_9	0.174745	3.494891	100000000	100003637	2682	0.060972	0.000085	0.999982	1488483	1483882
speclibm_10	0.129063	2.581257	100000000	100003637	2719	0.030487	0.000083	0.999961	744378	741983
speclibm_11	0.205034	3.073968	100000000	100003637	2679	0.060972	0.000094	0.999944	1488538	1486955
speclibm_12	0.128830	2.576600	100000000	100003637	2719	0.030487	0.000083	0.999961	744378	741983
speclibm_13	0.128830	2.576600	100000000	100003637	2719	0.030487	0.000083	0.999961	744378	741983
