Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.committedInsts	system.cpu.committedOps	system.cpu.discardedOps	system.cpu.dcache.overall_miss_rate::.cpu.data	system.cpu.icache.overall_miss_rate::.cpu.inst	system.l2.overall_miss_rate::total	system.l2.overall_accesses::total	system.cpu.dcache.replacements
specmcf_1	0.064955	1.299095	100000001	109431937	690949	0.002108	0.023612	0.055046	724390	54452
specmcf_2	0.077984	1.169182	100000001	109431937	775705	0.003841	0.000026	0.744713	110554	107689
specmcf_3	0.077984	1.169182	100000001	109431937	775705	0.003841	0.000026	0.744747	110549	107689
specmcf_4	0.076748	1.150648	100000001	109431937	732478	0.002399	0.000018	0.676796	63644	61077
specmcf_5	0.076572	1.148012	100000001	109431937	732339	0.001932	0.000018	0.838269	51357	48791
specmcf_6	0.059284	1.185670	100000001	109431937	775658	0.003448	0.000026	0.815793	100946	96038
specmcf_7	0.059284	1.185670	100000001	109431937	775658	0.003448	0.000026	0.815793	100946	96038
specmcf_8	0.058006	1.160122	100000001	109431937	732448	0.002090	0.000018	0.774234	55708	51093
specmcf_9	0.057970	1.159395	100000001	109431937	732342	0.001848	0.000018	0.871879	49297	44683
specmcf_10	0.056154	1.123076	100000001	109431937	720172	0.001083	0.000013	0.686303	29299	26906
specmcf_11	0.086162	1.291785	100000001	109431937	690911	0.002108	0.023621	0.055046	724391	54453
