Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.committedInsts	system.cpu.committedOps	system.cpu.discardedOps	system.cpu.dcache.overall_miss_rate::.cpu.data	system.cpu.icache.overall_miss_rate::.cpu.inst	system.l2.overall_miss_rate::total	system.l2.overall_accesses::total	system.cpu.dcache.replacements
specsjeng_1	0.513528	10.270554	100000000	184174857	4279	0.121831	0.000020	0.999972	5264051	5262377
specsjeng_2	0.987122	14.799425	100000000	184174857	4244	0.243939	0.000022	0.997666	10551665	10548678
specsjeng_3	0.987141	14.799710	100000000	184174857	4246	0.243939	0.000022	0.997667	10551657	10548678
specsjeng_4	0.583273	8.744719	100000000	184174857	4291	0.122368	0.000019	0.991262	5310302	5307644
specsjeng_5	0.582018	8.725907	100000000	184174857	4288	0.121831	0.000019	0.999983	5263988	5261330
specsjeng_6	0.883300	17.666008	100000000	184174857	4238	0.243923	0.000022	0.997793	10550323	10545295
specsjeng_7	0.883300	17.666008	100000000	184174857	4238	0.243923	0.000022	0.997793	10550323	10545295
specsjeng_8	0.514613	10.292256	100000000	184174857	4282	0.122365	0.000019	0.991297	5310115	5305409
specsjeng_9	0.513649	10.272973	100000000	184174857	4282	0.121830	0.000019	0.999990	5263952	5259246
specsjeng_10	0.339965	6.799297	100000000	184174857	4312	0.060918	0.000013	0.999983	2632244	2629797
specsjeng_11	0.581937	8.724686	100000000	184174857	4279	0.121831	0.000020	0.999972	5264051	5262377
