Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.committedInsts	system.cpu.committedOps	system.cpu.discardedOps	system.cpu.dcache.overall_miss_rate::.cpu.data	system.cpu.icache.overall_miss_rate::.cpu.inst	system.l2.overall_miss_rate::total	system.l2.overall_accesses::total	system.cpu.dcache.replacements
specbzip_1	0.083982	1.679650	100000001	100196363	190645	0.014798	0.000077	0.282163	712341	710569
specbzip_2	0.123594	1.852980	100000001	100196363	190595	0.020791	0.000085	0.413936	964838	961665
specbzip_3	0.123599	1.853052	100000001	100196363	190596	0.020791	0.000083	0.413930	964820	961664
specbzip_4	0.111506	1.671759	100000001	100196363	190608	0.014166	0.000070	0.348558	678705	675981
specbzip_5	0.109804	1.646231	100000001	100196363	190597	0.011729	0.000070	0.426386	553424	550700
specbzip_6	0.095064	1.901276	100000001	100196363	190457	0.017717	0.000083	0.499054	799508	794302
specbzip_7	0.095064	1.901276	100000001	100196363	190457	0.017717	0.000083	0.499054	799508	794302
specbzip_8	0.082824	1.656479	100000001	100196363	189859	0.008892	0.000070	0.583112	404384	399612
specbzip_9	0.082393	1.647867	100000001	100196363	189856	0.008348	0.000070	0.609095	376774	372003
specbzip_10	0.079819	1.596387	100000001	100196363	190033	0.006927	0.000052	0.383268	321913	319444
specbzip_11	0.109754	1.645488	100000001	100196363	190644	0.014785	0.000077	0.282160	712350	710578
