Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.committedInsts	system.cpu.committedOps	system.cpu.discardedOps	system.cpu.dcache.overall_miss_rate::.cpu.data	system.cpu.icache.overall_miss_rate::.cpu.inst	system.l2.overall_miss_rate::total	system.l2.overall_accesses::total	system.cpu.dcache.replacements
spechmmer_1	0.059396	1.187917	100000000	101102729	974536	0.001637	0.000221	0.077760	70563	65718
spechmmer_2	0.080893	1.212783	100000000	101102729	972657	0.004364	0.000401	0.054978	188804	178616
spechmmer_3	0.080823	1.211732	100000000	101102729	971817	0.004365	0.000109	0.056766	182875	178616
spechmmer_4	0.079404	1.190458	100000000	101102729	970877	0.001465	0.000078	0.089381	61456	58057
spechmmer_5	0.079013	1.184600	100000000	101102729	971303	0.000702	0.000078	0.195036	28164	24765
spechmmer_6	0.059902	1.198030	100000000	101102729	964958	0.002279	0.000109	0.109668	94658	88351
spechmmer_7	0.059902	1.198030	100000000	101102729	964958	0.002279	0.000109	0.109668	94658	88351
spechmmer_8	0.059223	1.184457	100000000	101102729	969436	0.000222	0.000078	0.711160	7724	2584
spechmmer_9	0.059204	1.184071	100000000	101102729	969362	0.000185	0.000078	0.885968	6200	1030
spechmmer_10	0.058941	1.178828	100000000	101102729	975176	0.000101	0.000055	0.822661	3592	827
spechmmer_11	0.079149	1.186641	100000000	101102729	974536	0.001637	0.000221	0.077758	70565	65718
