Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.committedInsts	system.cpu.op_class::total	system.cpu.dcache.overall_misses::.cpu.data	system.cpu.icache.overall_misses::.cpu.inst	system.l2.overall_misses::total	system.l2.overall_accesses::total	system.cpu.dcache.replacements
specsjeng_1	0.513528	10.270554	100000000	NAN	10523861	649	5263903	5264051	5262377
specsjeng_2	0.987122	14.799425	100000000	NAN	21071603	940	10527036	10551665	10548678
specsjeng_3	0.987141	14.799710	100000000	NAN	21071604	932	10527036	10551657	10548678
specsjeng_4	0.583273	8.744719	100000000	NAN	10570231	609	5263901	5310302	5307644
specsjeng_5	0.582018	8.725907	100000000	NAN	10523835	609	5263901	5263988	5261330
specsjeng_6	0.883300	17.666008	100000000	NAN	21070283	933	10527037	10550323	10545295
specsjeng_7	0.883300	17.666008	100000000	NAN	21070283	933	10527037	10550323	10545295
specsjeng_8	0.514613	10.292256	100000000	NAN	10569976	609	5263901	5310115	5305409
specsjeng_9	0.513649	10.272973	100000000	NAN	10523802	609	5263901	5263952	5259246
specsjeng_10	0.339965	6.799297	100000000	NAN	5262105	399	2632199	2632244	2629797
